Order,Site,BIDS_subID,BIDS_session,BIDS_run,data_to_nifti,filter_count_runs_per_sub,filter_count_runs_per_session,Original_ID,Original_data_structure (subID to nifti),"Modality (T1w, T2w, T2*w, BOLD, etc)",Sex,Age(Years),Age(Weeks),Age(Days),DOB,Date of Scan,Experimental_Condition,Species,"Usage (PRIME1, UWMadison, PRIME2, BrainCharts)",Path to Raw Data Folder (ACCESS),Path to Raw Data Folder (Server),Notes,,JSON,Longitudinal_ID
1167,site-neurodev,025002,001,1,sub-025002/ses-001/anat/sub-025002_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.33,17.21,120.45,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,21
1168,site-neurodev,025003,001,1,sub-025003/ses-001/anat/sub-025003_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.58,30.40,212.80,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,21
1169,site-neurodev,025004,001,1,sub-025004/ses-001/anat/sub-025004_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.83,43.44,304.05,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,21
1170,site-neurodev,025005,001,1,sub-025005/ses-001/anat/sub-025005_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,1.08,56.47,395.30,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,21
1171,site-neurodev,026001,001,1,sub-026001/ses-001/anat/sub-026001_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,0.25,13.04,91.25,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,22
1172,site-neurodev,026002,001,1,sub-026002/ses-001/anat/sub-026002_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,0.58,30.40,212.80,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,22
1173,site-neurodev,026003,001,1,sub-026003/ses-001/anat/sub-026003_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,0.92,47.76,334.34,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,22
1174,site-neurodev,026004,001,1,sub-026004/ses-001/anat/sub-026004_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,1.25,65.18,456.25,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,22
1175,site-neurodev,026005,001,1,sub-026005/ses-001/anat/sub-026005_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,1.58,82.54,577.80,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,22
1176,site-neurodev,027001,001,1,sub-027001/ses-001/anat/sub-027001_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.25,13.04,91.25,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,23
1177,site-neurodev,027002,001,1,sub-027002/ses-001/anat/sub-027002_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.58,30.40,212.80,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,23
1178,site-neurodev,027003,001,1,sub-027003/ses-001/anat/sub-027003_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.92,47.76,334.34,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,23
1179,site-neurodev,027004,001,1,sub-027004/ses-001/anat/sub-027004_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,1.33,69.35,485.45,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,23
1180,site-neurodev,027005,001,1,sub-027005/ses-001/anat/sub-027005_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,1.58,82.54,577.80,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,23
1181,site-neurodev,028001,001,1,sub-028001/ses-001/anat/sub-028001_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.08,4.33,30.30,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,24
1182,site-neurodev,028002,001,1,sub-028002/ses-001/anat/sub-028002_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.33,17.21,120.45,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,24
1183,site-neurodev,028003,001,1,sub-028003/ses-001/anat/sub-028003_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.58,30.40,212.80,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,24
1184,site-neurodev,028004,001,1,sub-028004/ses-001/anat/sub-028004_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.83,43.44,304.05,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,24
1185,site-neurodev,028005,001,1,sub-028005/ses-001/anat/sub-028005_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,1.08,56.47,395.30,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,24
1186,site-neurodev,029001,001,1,sub-029001/ses-001/anat/sub-029001_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.33,17.21,120.45,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,25
1187,site-neurodev,029002,001,1,sub-029002/ses-001/anat/sub-029002_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.67,34.78,243.46,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,25
1188,site-neurodev,029003,001,1,sub-029003/ses-001/anat/sub-029003_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,1.00,52.14,365.00,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,25
1189,site-neurodev,029004,001,1,sub-029004/ses-001/anat/sub-029004_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,1.33,69.35,485.45,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,25
1190,site-neurodev,029005,001,1,sub-029005/ses-001/anat/sub-029005_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,1.67,86.92,608.46,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,25
1191,site-neurodev,030001,001,1,sub-030001/ses-001/anat/sub-030001_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,0.33,17.21,120.45,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,26
1192,site-neurodev,030002,001,1,sub-030002/ses-001/anat/sub-030002_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,0.67,34.78,243.46,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,26
1193,site-neurodev,030003,001,1,sub-030003/ses-001/anat/sub-030003_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,1.00,52.14,365.00,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,26
1194,site-neurodev,030004,001,1,sub-030004/ses-001/anat/sub-030004_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,1.33,69.35,485.45,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,26
1195,site-neurodev,030005,001,1,sub-030005/ses-001/anat/sub-030005_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,1.66,86.56,605.90,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,26
1196,site-neurodev,031001,001,1,sub-031001/ses-001/anat/sub-031001_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.08,4.33,30.30,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,27
1197,site-neurodev,031002,001,1,sub-031002/ses-001/anat/sub-031002_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.33,17.21,120.45,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,27
1198,site-neurodev,031003,001,1,sub-031003/ses-001/anat/sub-031003_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.58,30.40,212.80,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,27
1199,site-neurodev,031004,001,1,sub-031004/ses-001/anat/sub-031004_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.83,43.44,304.05,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,27
1200,site-neurodev,031005,001,1,sub-031005/ses-001/anat/sub-031005_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,1.08,56.47,395.30,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,27
1201,site-neurodev,032001,001,1,sub-032001/ses-001/anat/sub-032001_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,0.00,0.16,1.10,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,28
1202,site-neurodev,032002,001,1,sub-032002/ses-001/anat/sub-032002_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,0.25,13.04,91.25,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,28
1203,site-neurodev,032003,001,1,sub-032003/ses-001/anat/sub-032003_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,0.50,26.07,182.50,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,28
1204,site-neurodev,032004,001,1,sub-032004/ses-001/anat/sub-032004_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,0.75,39.11,273.75,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,28
1205,site-neurodev,032005,001,1,sub-032005/ses-001/anat/sub-032005_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,1.00,52.14,365.00,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,28
1206,site-neurodev,033001,001,1,sub-033001/ses-001/anat/sub-033001_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,0.08,4.34,30.40,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,29
1207,site-neurodev,033002,001,1,sub-033002/ses-001/anat/sub-033002_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,0.58,30.40,212.80,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,29
1208,site-neurodev,033003,001,1,sub-033003/ses-001/anat/sub-033003_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,0.83,43.44,304.05,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,29
1209,site-neurodev,033004,001,1,sub-033004/ses-001/anat/sub-033004_ses-001_run-1_T1w.nii.gz,,1,,,T1w,F,1.08,56.47,395.30,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,29
1210,site-neurodev,034001,001,1,sub-034001/ses-001/anat/sub-034001_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.00,0.16,1.10,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,30
1211,site-neurodev,034002,001,1,sub-034002/ses-001/anat/sub-034002_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.25,13.04,91.25,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,30
1212,site-neurodev,034003,001,1,sub-034003/ses-001/anat/sub-034003_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.58,30.40,212.80,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,30
1213,site-neurodev,034004,001,1,sub-034004/ses-001/anat/sub-034004_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.75,39.11,273.75,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,30
1214,site-neurodev,034005,001,1,sub-034005/ses-001/anat/sub-034005_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,1.00,52.14,365.00,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,30
1215,site-neurodev,035001,001,1,sub-035001/ses-001/anat/sub-035001_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.00,0.16,1.10,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,31
1216,site-neurodev,035002,001,1,sub-035002/ses-001/anat/sub-035002_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.25,13.04,91.25,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,31
1217,site-neurodev,035003,001,1,sub-035003/ses-001/anat/sub-035003_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.50,26.07,182.50,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,31
1218,site-neurodev,035004,001,1,sub-035004/ses-001/anat/sub-035004_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.75,39.11,273.75,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,31
1219,site-neurodev,035005,001,1,sub-035005/ses-001/anat/sub-035005_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,1.00,52.14,365.00,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,31
1220,site-neurodev,036001,001,1,sub-036001/ses-001/anat/sub-036001_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.00,0.16,1.10,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,32
1221,site-neurodev,036002,001,1,sub-036002/ses-001/anat/sub-036002_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.25,13.04,91.25,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,32
1222,site-neurodev,036003,001,1,sub-036003/ses-001/anat/sub-036003_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.50,26.07,182.50,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,32
1223,site-neurodev,036004,001,1,sub-036004/ses-001/anat/sub-036004_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,0.75,39.11,273.75,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,32
1224,site-neurodev,036005,001,1,sub-036005/ses-001/anat/sub-036005_ses-001_run-1_T1w.nii.gz,,1,,,T1w,M,1.00,52.14,365.00,,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-neurodev,@atom:/home/salldritt/projects/DCAN/DCAN_raw/Macaque_NeuroDev/scan_data_nifti,Longitudinal data: subject indexed by first three digits,,,32
1225,site-newcastle,032097,001,1,sub-032097_ses-001_run-1_T1w.nii.gz,,1,1,,T1w,M,6.81,355.09,"2,485.65",,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-newcastle,@atom:/data/Projects/indi_projects/PRIME/data_BIDS/site-newcastle,FAKE T2,,,
1226,site-newcastle,032097,002,1,sub-032097_ses-002_run-1_T1w.nii.gz,,1,1,,T1w,M,6.81,355.09,"2,485.65",,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-newcastle,@atom:/data/Projects/indi_projects/PRIME/data_BIDS/site-newcastle,FAKE T2,,,
1227,site-newcastle,032098,001,1,sub-032098_ses-001_run-1_T1w.nii.gz,,1,2,,T1w,M,5.44,283.66,"1,985.60",,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-newcastle,@atom:/data/Projects/indi_projects/PRIME/data_BIDS/site-newcastle,FAKE T2,,,
1228,site-newcastle,032098,002,1,sub-032098_ses-002_run-1_T1w.nii.gz,,1,2,,T1w,M,5.44,283.66,"1,985.60",,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-newcastle,@atom:/data/Projects/indi_projects/PRIME/data_BIDS/site-newcastle,FAKE T2,,,
1229,site-newcastle,032099,001,1,sub-032099_ses-001_run-1_T1w.nii.gz,,1,3,,T1w,M,7.32,381.69,"2,671.80",,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-newcastle,@atom:/data/Projects/indi_projects/PRIME/data_BIDS/site-newcastle,FAKE T2,,,
1230,site-newcastle,032100,001,1,sub-032100_ses-001_run-1_T1w.nii.gz,,1,4,,T1w,M,9.29,484.41,"3,390.85",,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-newcastle,@atom:/data/Projects/indi_projects/PRIME/data_BIDS/site-newcastle,FAKE T2,,,
1231,site-newcastle,032100,002,1,sub-032100_ses-002_run-1_T1w.nii.gz,,1,4,,T1w,M,9.29,484.41,"3,390.85",,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-newcastle,@atom:/data/Projects/indi_projects/PRIME/data_BIDS/site-newcastle,FAKE T2,,,
1232,site-newcastle,032100,003,1,sub-032100_ses-003_run-1_T1w.nii.gz,,1,4,,T1w,M,9.29,484.41,"3,390.85",,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-newcastle,@atom:/data/Projects/indi_projects/PRIME/data_BIDS/site-newcastle,FAKE T2,,,
1233,site-newcastle,032101,001,1,sub-032101_ses-001_run-1_T1w.nii.gz,,1,5,,T1w,M,3.90,203.36,"1,423.50",,,,Macaca Mulatta,,@bridges2:/ocean/projects/bio220042p/shared/data/DCAN/DCAN_in/site-newcastle,@atom:/data/Projects/indi_projects/PRIME/data_BIDS/site-newcastle,FAKE T2,,,
